Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,WG,Reimbursed
Antioch,90,,,,,,,,,,
Alexandria,91,,,,,,,,,,
Antioch,91,,,,,,,,,,
Alexandria,92,,,,,,,,,,
Antioch,92,,,,,,,,,,
Alexandria,93,,,,,,,,,,
Antioch,93,,,,,,,,,,
Alexandria,94,Alexandria Council 7 Report,Approved,500000,500000,,,Reports,,,
Antioch,94,,,,,,,,,,
Alexandria,95,New Joystream Telegram Sticker,Approved,500000,500000,,,Bounties,5,,Y
Antioch,95,,,,,,,,,,
Antioch,96,Creative Community Challenge #2,Approved,2150000,2150000,,,Community Rewards,,,
Alexandria,96,,,,,,,,,,
Antioch,97,Bounty 14: Submission 18-28,Approved,6646300,6646300,,,Bounties,14,,Y
Alexandria,97,Appoint New Council Secretary,Execution Failed,2000000,0,,,Informal Roles,,,
Antioch,98,Prize pot for bounty 10 IV,Approved,8498500,8498500,,,Bounties,10,,Y
Alexandria,98,,,,,,,,,,
Alexandria,99,New Joystream Telegram Sticker,Expired,500000,0,,,Bounties,5,,Y
Antioch,99,,,,,,,,,,
Alexandria,100,,,,,,,,,,
Antioch,100,,,,,,,,,,
Alexandria,101,Improvements for Stats Website,Approved,5000000,5000000,,,Tools,,,
Antioch,101,,,,,,,,,,
Alexandria,102,,,,,,,,,,
Antioch,102,,,,,,,,,,
Alexandria,103,,,,,,,,,,
Antioch,103,,,,,,,,,,
Alexandria,104,Upload 15 Live Action post-1980 movies,Approved,150000,150000,,,Media,,,
Antioch,104,,,,,,,,,,
Alexandria,105,,,,,,,,,,
Antioch,105,,,,,,,,,,
Alexandria,106,KPI 8.1 - Council 01 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,106,,,,,,,,,,
Alexandria,107,Babylon Council 1 Report,Approved,500000,500000,,,Reports,,,
Antioch,107,,,,,,,,,,
Alexandria,108,Telegram Sticker Competition Submission,Approved,1000000,1000000,,,Bounties,5,,Y
Antioch,108,,,,,,,,,,
Alexandria,109,Telegram Competition Sticker,Approved,568120,568120,,,Bounties,5,,Y
Antioch,109,,,,,,,,,,
Alexandria,110,,,,,,,,,,
Antioch,110,,,,,,,,,,
Alexandria,111,,,,,,,,,,
Antioch,111,,,,,,,,,,
Alexandria,112,,,,,,,,,,
Antioch,112,,,,,,,,,,
Alexandria,113,Refund: Improvements for Stats Website,Approved,5000000,5000000,,,Tools,,,
Antioch,113,,,,,,,,,,
Alexandria,114,,,,,,,,,,
Antioch,114,,,,,,,,,,
Alexandria,115,KPI 9.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,115,,,,,,,,,,
Alexandria,116,Community Bounty #6,Approved,4670700,4670700,,,Bounties,6,,Y
Antioch,116,,,,,,,,,,
Alexandria,117,Upload 90 Movies,Approved,1000000,1000000,,,Media,,,
Antioch,117,,,,,,,,,,
Alexandria,118,Refund for missed payments,Approved,310500,310500,,,WG Missed Payments,,,
Antioch,118,,,,,,,,,,
Alexandria,119,,,,,,,,,,
Antioch,119,,,,,,,,,,
Alexandria,120,KPI 10.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,120,,,,,,,,,,
Alexandria,121,KPI 9.2 - Council 02 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,121,,,,,,,,,,
Alexandria,122,KPI 9.2 - Babylon Council 2 Report,Approved,500000,500000,,,Reports,,,
Antioch,122,,,,,,,,,,
Alexandria,123,,,,,,,,,,
Antioch,123,,,,,,,,,,
Antioch,124,Reward for Bounty #14,Approved,3572400,3572400,,,Bounty,14,,Y
Alexandria,124,,,,,,,,,,
Antioch,125,Reward for Bounty #14,ExecutionFailed,8633500,0,,,Bounty,14,,Y
Alexandria,125,,,,,,,,,,
Alexandria,126,,,,,,,,,,
Antioch,126,,,,,,,,,,
Alexandria,127,,,,,,,,,,
Antioch,127,,,,,,,,,,
Alexandria,128,,,,,,,,,,
Antioch,128,,,,,,,,,,
Antioch,129,Reward for Bounty #14,Approved,8633500,8633500,,,Bounty,14,,Y
Alexandria,129,,,,,,,,,,
Alexandria,130,,,,,,,,,,
Antioch,130,,,,,,,,,,
Alexandria,131,,,,,,,,,,
Antioch,131,,,,,,,,,,
Alexandria,132,JoystreamStats development (weeks 4-6),Expired,5000000,0,,,Tools,,,
